epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.2817,0.76439,4.56618,1.18003,0.47699,0.36423,0.31239,0.25172,0.68058,4.16911,1.03473,0.00014994,0.00014994,0.00014994
2,99.111,0.86073,2.04883,1.2307,0.19778,0.39262,0.23126,0.17126,0.8356,4.20587,1.23699,0.000305159,0.000305159,0.000305159
3,138.904,0.94543,1.72494,1.27739,0.27635,0.38405,0.16931,0.106,1.06886,12.1157,1.7093,0.000457244,0.000457244,0.000457244
4,174.621,0.97554,1.58161,1.26485,0.26521,0.22667,0.12876,0.07449,1.24319,21.4889,2.32632,0.000606195,0.000606195,0.000606195
5,209.866,1.10107,1.6357,1.32982,0.37422,0.19667,0.1013,0.04958,1.47438,inf,3.15269,0.000752012,0.000752012,0.000752012
6,249.36,1.07615,1.58932,1.32253,0.44719,0.23667,0.14296,0.08045,1.31729,16.5742,2.62676,0.000791767,0.000791767,0.000791767
7,288.692,1.05457,1.49456,1.29332,0.34651,0.3475,0.206,0.12571,1.2759,8.37532,2.09017,0.00078352,0.00078352,0.00078352
8,327.973,1.04008,1.37868,1.28445,0.47091,0.31808,0.19883,0.1218,1.30287,6.04838,1.93317,0.000775273,0.000775273,0.000775273
9,371.099,0.99072,1.34396,1.26284,0.44495,0.36869,0.24452,0.16264,1.18756,4.16244,1.61024,0.000767026,0.000767026,0.000767026
10,420.726,0.97618,1.29329,1.24639,0.48391,0.28912,0.25055,0.1642,1.16017,2.94196,1.53893,0.00075878,0.00075878,0.00075878
11,466.438,0.92075,1.2019,1.22644,0.34082,0.3828,0.27202,0.17786,1.09572,3.09322,1.48705,0.000750533,0.000750533,0.000750533
12,503.771,0.91692,1.16654,1.22764,0.46076,0.34389,0.28124,0.18693,1.06576,3.08897,1.45307,0.000742286,0.000742286,0.000742286
13,544.267,0.8856,1.10806,1.20425,0.36132,0.36586,0.27767,0.18784,1.05459,2.29326,1.37665,0.00073404,0.00073404,0.00073404
14,581.574,0.83863,1.10691,1.17875,0.35589,0.3719,0.28437,0.19067,1.12569,2.51438,1.46595,0.000725793,0.000725793,0.000725793
15,620.697,0.8753,1.08968,1.18718,0.2935,0.3759,0.25907,0.1713,1.11091,2.13775,1.42272,0.000717546,0.000717546,0.000717546
16,656.809,0.85046,1.06751,1.17476,0.23536,0.42318,0.23968,0.16666,1.07495,2.18681,1.37428,0.000709299,0.000709299,0.000709299
17,693.025,0.80482,1.04241,1.1462,0.3187,0.38885,0.26499,0.18183,0.98281,2.13139,1.31506,0.000701053,0.000701053,0.000701053
18,729.663,0.81461,0.99975,1.15056,0.27065,0.39458,0.24701,0.17535,1.07259,2.2258,1.38125,0.000692806,0.000692806,0.000692806
19,767.368,0.78374,0.96518,1.13095,0.27979,0.37158,0.2551,0.17645,1.03484,1.92237,1.33026,0.000684559,0.000684559,0.000684559
20,807.062,0.76582,0.91024,1.12541,0.21886,0.38701,0.22379,0.15209,1.13355,2.08002,1.39357,0.000676313,0.000676313,0.000676313
21,844.447,0.77717,0.94763,1.12668,0.2791,0.36033,0.23537,0.1607,1.08229,2.23226,1.37104,0.000668066,0.000668066,0.000668066
22,881.298,0.72006,0.87561,1.09698,0.28197,0.34178,0.23097,0.1627,1.06215,2.36781,1.37935,0.000659819,0.000659819,0.000659819
23,918.594,0.72119,0.80572,1.08344,0.26455,0.35216,0.22834,0.16031,1.05653,2.20189,1.36981,0.000651573,0.000651573,0.000651573
24,955.29,0.72323,0.8342,1.09893,0.30048,0.34046,0.24277,0.17428,1.044,2.20139,1.34855,0.000643326,0.000643326,0.000643326
25,992.311,0.71451,0.8282,1.10738,0.26091,0.38088,0.23468,0.16745,1.03222,2.38034,1.35157,0.000635079,0.000635079,0.000635079
26,1030.78,0.74097,0.81155,1.10186,0.26184,0.32167,0.20965,0.14887,1.04632,2.40087,1.35775,0.000626832,0.000626832,0.000626832
27,1067.68,0.67844,0.77414,1.06793,0.29344,0.34378,0.21934,0.15783,1.00812,2.32284,1.3334,0.000618586,0.000618586,0.000618586
28,1105.61,0.67783,0.74498,1.06997,0.26472,0.35727,0.19722,0.13672,1.07529,2.36099,1.40435,0.000610339,0.000610339,0.000610339
29,1141.83,0.65164,0.72865,1.04895,0.23718,0.36667,0.1922,0.13458,1.07713,2.52432,1.38446,0.000602092,0.000602092,0.000602092
30,1178.22,0.64498,0.70033,1.04186,0.24862,0.3464,0.20215,0.14203,1.09303,2.44265,1.40388,0.000593846,0.000593846,0.000593846
31,1215.39,0.67522,0.72624,1.05342,0.28294,0.34723,0.20952,0.14688,1.05474,2.4479,1.34785,0.000585599,0.000585599,0.000585599
