epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5518,0.7013,2.06221,1.16419,0.33543,0.41351,0.31283,0.25853,0.63493,3.08083,1.00568,9.996e-05,9.996e-05,9.996e-05
2,20.7597,0.69445,1.72128,1.14373,0.51032,0.30028,0.32351,0.27487,0.65351,2.82834,1.01627,0.000197942,0.000197942,0.000197942
3,30.8512,0.63461,1.4127,1.10202,0.41795,0.42024,0.29607,0.24725,0.65022,2.53575,1.034,0.000285203,0.000285203,0.000285203
4,40.4148,0.67933,1.30217,1.13888,0.43432,0.4,0.30398,0.25247,0.65599,2.26278,1.0159,0.000361743,0.000361743,0.000361743
5,49.4407,0.68154,1.20074,1.11752,0.37199,0.45334,0.3357,0.27451,0.67296,1.75171,1.04228,0.000427562,0.000427562,0.000427562
6,58.7626,0.69488,1.16591,1.13621,0.38614,0.39167,0.33903,0.27499,0.71051,1.84772,1.06728,0.000482661,0.000482661,0.000482661
7,68.6513,0.70999,1.16469,1.13056,0.48598,0.40942,0.32116,0.26542,0.7042,1.75953,1.08141,0.000527039,0.000527039,0.000527039
8,77.6404,0.69454,1.09647,1.11755,0.50112,0.3922,0.33615,0.27091,0.69864,1.99344,1.05063,0.000544365,0.000544365,0.000544365
9,86.6442,0.67469,1.05264,1.1091,0.46493,0.4286,0.32821,0.26933,0.69194,1.5987,1.06893,0.000503132,0.000503132,0.000503132
10,95.7453,0.65953,1.05849,1.10934,0.46895,0.373,0.31455,0.26366,0.68632,1.59092,1.07014,0.000461898,0.000461898,0.000461898
11,119.847,0.52458,0.94391,0.98313,0.35586,0.44797,0.34478,0.28319,0.69194,1.54516,1.06511,0.000420665,0.000420665,0.000420665
12,129.911,0.52071,0.93378,0.9973,0.27382,0.46833,0.29939,0.24152,0.69493,1.62827,1.05691,0.000379431,0.000379431,0.000379431
13,139.483,0.50723,0.86682,0.98573,0.50111,0.35285,0.32711,0.26978,0.68823,1.55362,1.06597,0.000338198,0.000338198,0.000338198
14,148.892,0.50437,0.86439,0.97641,0.33901,0.35146,0.32842,0.27155,0.6938,1.43718,1.0651,0.000296964,0.000296964,0.000296964
15,158.65,0.49214,0.8357,0.97109,0.31228,0.46,0.34392,0.28336,0.67271,1.42199,1.04821,0.000255731,0.000255731,0.000255731
16,168.636,0.47878,0.7898,0.96637,0.31755,0.46799,0.31971,0.26663,0.67027,1.41928,1.05022,0.000214497,0.000214497,0.000214497
17,177.988,0.47385,0.78571,0.96179,0.3562,0.43307,0.34759,0.28941,0.66065,1.39672,1.04859,0.000173264,0.000173264,0.000173264
18,187.585,0.45669,0.74222,0.96011,0.3161,0.48059,0.3423,0.2872,0.65684,1.40028,1.04494,0.000132031,0.000132031,0.000132031
19,196.796,0.44658,0.71939,0.94052,0.30266,0.48083,0.34635,0.28884,0.65177,1.38482,1.05008,9.0797e-05,9.0797e-05,9.0797e-05
20,205.888,0.44658,0.71113,0.95898,0.30326,0.46336,0.34168,0.28599,0.64796,1.38019,1.04741,4.95635e-05,4.95635e-05,4.95635e-05
