epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.19358,0.65679,1.00708,1.12716,0.34378,0.46687,0.34725,0.28929,0.6495,1.40323,1.04055,5.831e-05,5.831e-05,5.831e-05
2,16.094,0.62723,0.91576,1.10939,0.3548,0.45033,0.35351,0.29663,0.65283,1.41202,1.03718,0.000118765,0.000118765,0.000118765
3,24.182,0.61575,0.91446,1.09685,0.3482,0.43073,0.34177,0.28444,0.65996,1.44353,1.03917,0.000172623,0.000172623,0.000172623
4,31.921,0.61334,0.90027,1.10491,0.30936,0.49083,0.32875,0.27194,0.65467,1.474,1.03684,0.000219883,0.000219883,0.000219883
5,39.7668,0.58329,0.91227,1.08424,0.31662,0.42989,0.34414,0.28881,0.65843,1.45977,1.03669,0.000260546,0.000260546,0.000260546
6,47.5167,0.63515,0.93181,1.10653,0.31527,0.47602,0.34396,0.29015,0.65416,1.41389,1.03697,0.000294611,0.000294611,0.000294611
7,55.8172,0.63192,0.87556,1.11091,0.31899,0.424,0.32958,0.27662,0.66007,1.45872,1.03707,0.000322079,0.000322079,0.000322079
8,63.5144,0.59021,0.89639,1.08193,0.32211,0.40472,0.30229,0.25508,0.66731,1.52517,1.04444,0.00034295,0.00034295,0.00034295
9,72.2764,0.65779,0.93325,1.11915,0.51389,0.37741,0.35279,0.28964,0.66477,1.41162,1.04507,0.000357224,0.000357224,0.000357224
10,80.0041,0.63214,0.91192,1.10568,0.35803,0.3877,0.3304,0.27229,0.67714,1.46201,1.05096,0.0003649,0.0003649,0.0003649
11,103.459,0.46388,0.77468,0.95452,0.34513,0.36621,0.31313,0.2604,0.69313,1.49087,1.05028,0.000365979,0.000365979,0.000365979
12,112.204,0.4534,0.73676,0.94545,0.32932,0.39814,0.33712,0.27564,0.6895,1.552,1.06367,0.00036046,0.00036046,0.00036046
13,120.583,0.44555,0.71194,0.94333,0.3179,0.46043,0.28757,0.24523,0.68134,1.61103,1.06743,0.000338198,0.000338198,0.000338198
14,128.581,0.44737,0.71971,0.9653,0.36144,0.399,0.31251,0.2636,0.6847,1.63256,1.06537,0.000296964,0.000296964,0.000296964
15,136.342,0.42824,0.69015,0.95389,0.35947,0.37132,0.31696,0.26758,0.66897,1.56024,1.05756,0.000255731,0.000255731,0.000255731
16,144.247,0.46369,0.69036,0.97018,0.32041,0.4295,0.32586,0.27184,0.66803,1.57171,1.06008,0.000214497,0.000214497,0.000214497
17,151.9,0.43551,0.64723,0.95755,0.2943,0.45958,0.33432,0.28249,0.65542,1.56323,1.05425,0.000173264,0.000173264,0.000173264
18,159.703,0.41839,0.634,0.94145,0.28553,0.45477,0.30739,0.25949,0.65884,1.5885,1.04971,0.000132031,0.000132031,0.000132031
19,167.16,0.42152,0.6165,0.94161,0.30416,0.44916,0.31265,0.26533,0.65631,1.56024,1.05273,9.0797e-05,9.0797e-05,9.0797e-05
20,174.983,0.42135,0.60302,0.95713,0.31818,0.44187,0.31323,0.26578,0.65336,1.55294,1.05266,4.95635e-05,4.95635e-05,4.95635e-05
